"ï.¿Date","BENE","DK","SE.FI","FR","DE.CH","ITA.ES","NO.UK","PL"
"01/01/2021",523.2,530.4,253.4,23.4,30,19.5,594,133
"02/01/2021",1178.4,1709.5,695.8,53.3,57,50.7,789,232.4
"03/01/2021",1197.6,1680.9,651,46.8,73.5,52,804,190.4
"04/01/2021",799.2,829.4,317.8,35.1,52.5,35.1,1771.5,242.2
"05/01/2021",824.4,869.7,345.8,44.2,43.5,31.2,1356,246.4
"06/01/2021",732,867.1,471.8,29.9,48,61.1,1588.5,453.6
"07/01/2021",603.6,796.9,364,35.1,40.5,92.3,1240.5,498.4
"08/01/2021",648,678.6,294,42.9,63,53.3,1579.5,228.2
"09/01/2021",578.4,686.4,299.6,42.9,57,48.1,1240.5,183.4
"10/01/2021",678,850.2,316.4,27.3,81,50.7,1467,228.2
"11/01/2021",606,713.7,261.8,24.7,63,46.8,691.5,270.2
"12/01/2021",607.2,711.1,320.6,19.5,76.5,58.5,879,264.6
"13/01/2021",757.2,743.6,345.8,46.8,84,46.8,856.5,218.4
"14/01/2021",831.6,686.4,296.8,22.1,67.5,44.2,879,218.4
"15/01/2021",793.2,611,541.8,28.6,105,45.5,1006.5,172.2
"16/01/2021",786,617.5,282.8,35.1,75,63.7,1009.5,190.4
"17/01/2021",765.6,700.7,319.2,42.9,85.5,62.4,1192.5,257.6
"18/01/2021",628.8,627.9,263.2,44.2,64.5,48.1,793.5,327.6
"19/01/2021",612,592.8,260.4,29.9,78,41.6,768,357
"20/01/2021",787.2,691.6,246.4,81.9,88.5,54.6,837,232.4
"21/01/2021",667.2,581.1,259,46.8,72,39,790.5,175
"22/01/2021",722.4,500.5,259,50.7,94.5,26,1056,170.8
"23/01/2021",777.6,578.5,303.8,53.3,78,49.4,835.5,169.4
"24/01/2021",768,600.6,266,53.3,103.5,41.6,981,235.2
"25/01/2021",1105.2,555.1,606.2,48.1,76.5,40.3,786,183.4
"26/01/2021",835.2,521.3,415.8,42.9,90,52,2065.5,197.4
"27/01/2021",1158,514.8,544.6,36.4,114,46.8,1119,207.2
"28/01/2021",712.8,752.7,308,35.1,45,32.5,1597.5,205.8
"29/01/2021",766.8,1275.3,280,32.5,18,39,1051.5,236.6
"30/01/2021",745.2,878.8,294,39,12,37.7,1021.5,254.8
"31/01/2021",906,1210.3,379.4,48.1,21,40.3,1788,309.4
